관리번호,정류장명,lat,lng,한낮승차,미확인시설목록,로드뷰URL
250002237,푸른언덕공원,37.87627,127.7463,744,"그늘,의자,도착안내기","https://map.kakao.com/link/roadview/37.87627,127.7463"
265000786,송암삼거리,37.98796,127.70284,31,"그늘,의자,조명,도착안내기","https://map.kakao.com/link/roadview/37.98796,127.70284"
250002098,송암삼거리,37.98836,127.70335,31,"그늘,의자,조명,도착안내기","https://map.kakao.com/link/roadview/37.98836,127.70335"
250001548,동보빌리지,37.88358,127.74144,634,"그늘,의자,도착안내기","https://map.kakao.com/link/roadview/37.88358,127.74144"
257000114,굴지리종점,37.70913,127.79775,29,"그늘,의자,조명,도착안내기","https://map.kakao.com/link/roadview/37.70913,127.79775"
257001645,굴지리종점,37.7089,127.79772,29,"그늘,의자,조명,도착안내기","https://map.kakao.com/link/roadview/37.7089,127.79772"
250026834,칠전대우A,37.84487,127.71321,614,"그늘,의자,도착안내기","https://map.kakao.com/link/roadview/37.84487,127.71321"
250001659,교동초교입구,37.87733,127.73768,472,"그늘,의자,도착안내기","https://map.kakao.com/link/roadview/37.87733,127.73768"
250001139,방동1리,37.89588,127.68049,26,"그늘,의자,조명,도착안내기","https://map.kakao.com/link/roadview/37.89588,127.68049"
250001798,현지사,38.0448,127.64548,26,"그늘,의자,조명,도착안내기","https://map.kakao.com/link/roadview/38.0448,127.64548"
250002167,서면행정복지센터,37.89808,127.69374,26,"그늘,의자,조명,도착안내기","https://map.kakao.com/link/roadview/37.89808,127.69374"
250002168,서면행정복지센터,37.89836,127.69411,26,"그늘,의자,조명,도착안내기","https://map.kakao.com/link/roadview/37.89836,127.69411"
250027001,장본교앞사거리,37.95398,127.76895,26,"그늘,의자,조명,도착안내기","https://map.kakao.com/link/roadview/37.95398,127.76895"
250027002,장본교앞사거리,37.95409,127.76894,26,"그늘,의자,조명,도착안내기","https://map.kakao.com/link/roadview/37.95409,127.76894"
250027135,장본교앞사거리,37.95396,127.76915,26,"그늘,의자,조명,도착안내기","https://map.kakao.com/link/roadview/37.95396,127.76915"
250027136,장본교앞사거리,37.9539,127.76903,26,"그늘,의자,조명,도착안내기","https://map.kakao.com/link/roadview/37.9539,127.76903"
250026574,남춘천역2번출구,37.86371,127.72481,440,"그늘,의자,도착안내기","https://map.kakao.com/link/roadview/37.86371,127.72481"
250026581,남춘천역2번출구,37.86384,127.72476,440,"그늘,의자,도착안내기","https://map.kakao.com/link/roadview/37.86384,127.72476"
250001373,강원생명과학고,37.90903,127.72324,428,"그늘,의자,도착안내기","https://map.kakao.com/link/roadview/37.90903,127.72324"
250001374,강원생명과학고,37.9089,127.72299,428,"그늘,의자,도착안내기","https://map.kakao.com/link/roadview/37.9089,127.72299"
250026661,춘천고용복지센터,37.85146,127.74471,428,"그늘,의자,도착안내기","https://map.kakao.com/link/roadview/37.85146,127.74471"
250001095,창촌1리,37.78475,127.65051,24,"그늘,의자,조명,도착안내기","https://map.kakao.com/link/roadview/37.78475,127.65051"
250001769,가정리종점,37.76332,127.57735,24,"그늘,의자,조명,도착안내기","https://map.kakao.com/link/roadview/37.76332,127.57735"
250001794,창촌1리,37.78958,127.6471,24,"그늘,의자,조명,도착안내기","https://map.kakao.com/link/roadview/37.78958,127.6471"
250001795,창촌1리,37.78944,127.64697,24,"그늘,의자,조명,도착안내기","https://map.kakao.com/link/roadview/37.78944,127.64697"
250026731,가정리종점,37.76329,127.57751,24,"그늘,의자,조명,도착안내기","https://map.kakao.com/link/roadview/37.76329,127.57751"
250026537,케이티앤지,37.86183,127.72745,392,"그늘,의자,도착안내기","https://map.kakao.com/link/roadview/37.86183,127.72745"
250027094,춘천자원,37.8279,127.76397,384,"그늘,의자,도착안내기","https://map.kakao.com/link/roadview/37.8279,127.76397"
250027095,춘천자원,37.82823,127.76405,384,"그늘,의자,도착안내기","https://map.kakao.com/link/roadview/37.82823,127.76405"
250002117,소양강댐정상,37.9476,127.81268,380,"그늘,의자,도착안내기","https://map.kakao.com/link/roadview/37.9476,127.81268"
250026905,강원대백록관,37.86861,127.74135,380,"그늘,조명,도착안내기","https://map.kakao.com/link/roadview/37.86861,127.74135"
250026906,강원대백록관,37.86845,127.74149,380,"그늘,조명,도착안내기","https://map.kakao.com/link/roadview/37.86845,127.74149"
265000700,장학해온채A,37.89828,127.75381,378,"그늘,의자,도착안내기","https://map.kakao.com/link/roadview/37.89828,127.75381"
250026568,강촌역,37.80642,127.63372,359,"그늘,조명,도착안내기","https://map.kakao.com/link/roadview/37.80642,127.63372"
250001145,지암리,37.97758,127.60217,22,"그늘,의자,조명,도착안내기","https://map.kakao.com/link/roadview/37.97758,127.60217"
250001146,지암리,37.97912,127.60405,22,"그늘,의자,조명,도착안내기","https://map.kakao.com/link/roadview/37.97912,127.60405"
250001147,지암리,37.98263,127.61637,22,"그늘,의자,조명,도착안내기","https://map.kakao.com/link/roadview/37.98263,127.61637"
250001811,지암리,37.97939,127.62239,22,"그늘,의자,조명,도착안내기","https://map.kakao.com/link/roadview/37.97939,127.62239"
250001814,지암리,37.97931,127.62221,22,"그늘,의자,조명,도착안내기","https://map.kakao.com/link/roadview/37.97931,127.62221"
250001817,지내3리,37.94818,127.73085,22,"그늘,의자,조명,도착안내기","https://map.kakao.com/link/roadview/37.94818,127.73085"
250001818,지내3리,37.94822,127.73068,22,"그늘,의자,조명,도착안내기","https://map.kakao.com/link/roadview/37.94822,127.73068"
257001455,밤나무골,37.68845,127.68835,22,"그늘,의자,조명,도착안내기","https://map.kakao.com/link/roadview/37.68845,127.68835"
