위도,경도,구분,명칭,주소,개수,담당부서,기준일자
37.78532,127.68748,정류장,혈동2리종점,강원특별자치도 춘천시 혈동리 729,1,교통과,2026-06-01
37.79427,127.68679,정류장,혈동2리,강원특별자치도 춘천시 혈동리 702,1,교통과,2026-06-01
37.8889,127.68737,정류장,현암리,강원특별자치도 춘천시 현암리 526-10,1,교통과,2026-06-01
37.90355,127.73827,정류장,강원도재활병원,강원특별자치도 춘천시 우두동 426-8,1,교통과,2026-06-01
37.84713,127.7664,정류장,신촌2리,강원특별자치도 춘천시 신촌리 346-82,1,교통과,2026-06-01
37.8815,127.73466,정류장,향교,강원특별자치도 춘천시 교동 136-8,1,교통과,2026-06-01
37.8707,127.72469,정류장,디아펠리즈,강원특별자치도 춘천시 효자1동 681-22,1,교통과,2026-06-01
37.92709,127.75584,정류장,율문2리,강원특별자치도 춘천시 율문리 271-11,1,교통과,2026-06-01
37.92947,127.76178,정류장,항공대정문,강원특별자치도 춘천시 율문리 63-3,1,교통과,2026-06-01
37.84742,127.7553,정류장,장애인종합복지관,강원특별자치도 춘천시 석사동 130-15,1,교통과,2026-06-01
37.88316,127.73725,정류장,한림대학교,강원특별자치도 춘천시 교동 11-154,1,교통과,2026-06-01
37.86925,127.72922,정류장,한국토지주택공사,강원특별자치도 춘천시 효자1동 671-22,1,교통과,2026-06-01
37.8835,127.74863,정류장,후평환승센터,강원특별자치도 춘천시 후평1동 772,1,교통과,2026-06-01
37.88354,127.74892,정류장,후평환승센터,강원특별자치도 춘천시 후평3동 727,1,교통과,2026-06-01
37.88225,127.72859,정류장,한국은행,강원특별자치도 춘천시 중앙로1가  60-1,1,교통과,2026-06-01
37.94024,127.72757,정류장,한계울마을,강원특별자치도 춘천시 신동 627-3,1,교통과,2026-06-01
37.83486,127.7603,정류장,학곡리종점,강원특별자치도 춘천시 학곡리 303-2,1,교통과,2026-06-01
37.83501,127.76041,정류장,학곡리종점,강원특별자치도 춘천시 학곡리 581-1,1,교통과,2026-06-01
37.91395,127.75496,정류장,하일종점,강원특별자치도 춘천시 장학리 578-1,1,교통과,2026-06-01
37.85607,127.73888,정류장,무릉공원,강원특별자치도 춘천시 석사동 811,1,교통과,2026-06-01
37.86456,127.70712,정류장,하사관주택,강원특별자치도 춘천시 삼천동 53-25,1,교통과,2026-06-01
37.88061,127.74948,정류장,포스코더샵A,강원특별자치도 춘천시 후평3동 700,1,교통과,2026-06-01
37.8817,127.74675,정류장,포스코후문,강원특별자치도 춘천시 후평1동 719,1,교통과,2026-06-01
37.88157,127.74696,정류장,포스코후문,강원특별자치도 춘천시 후평2동 719,1,교통과,2026-06-01
37.88162,127.7485,정류장,포스코더샵A,강원특별자치도 춘천시 후평2동 904,1,교통과,2026-06-01
37.81379,127.69825,정류장,팔미3리,강원특별자치도 춘천시 팔미리 348-4,1,교통과,2026-06-01
37.80964,127.69635,정류장,팔미3리,강원특별자치도 춘천시 팔미리 861-229,1,교통과,2026-06-01
37.82161,127.70436,정류장,팔미1리,강원특별자치도 춘천시 팔미리 245-5,1,교통과,2026-06-01
37.85054,127.74413,정류장,투탑시티,강원특별자치도 춘천시 퇴계동 1027,1,교통과,2026-06-01
37.85858,127.72502,정류장,퇴계현대1차,강원특별자치도 춘천시 퇴계동 916-2,1,교통과,2026-06-01
37.85792,127.72643,정류장,퇴계현대1차,강원특별자치도 춘천시 춘추로 162,1,교통과,2026-06-01
37.85945,127.72313,정류장,한진한성,강원특별자치도 춘천시 퇴계동 917,1,교통과,2026-06-01
37.8509,127.73544,정류장,홈플러스,강원특별자치도 춘천시 퇴계동 135-1,1,교통과,2026-06-01
37.84919,127.73898,정류장,퇴계한주A,강원특별자치도 춘천시 퇴계동 71-5,1,교통과,2026-06-01
