정류장 번호,관리번호,정류장명,정류장명(영어),경도,위도,데이터기준일
1269,250001094,강촌1리삼거리,Gangchon 1(il)-ri Samgeori,127.63596,37.80894,2026-03-26
1270,250001095,창촌1리,Changchon 1(il)-ri,127.65051,37.78475,2026-03-26
1271,250001096,창촌1리,Changchon 1(il)-ri,127.65048,37.78506,2026-03-26
1272,250001097,창촌3리,Changchon 3(sam)-ri,127.62859,37.77741,2026-03-26
1273,250001098,창촌3리,Changchon 3(sam)-ri,127.62854,37.77728,2026-03-26
1274,250001099,후동1리,Hudong 1(il)-ri,127.62222,37.75472,2026-03-26
1275,250001100,후동1리,Hudong 1(il)-ri,127.6225,37.75515,2026-03-26
1276,250001101,박암리,Bagam-ri,127.53396,37.72594,2026-03-26
1277,250001102,박암리,Bagam-ri,127.5341,37.72598,2026-03-26
1278,250026614,박암리,Bagam-ri,127.54571,37.72395,2026-03-26
1279,250026613,박암리,Bagam-ri,127.54585,37.72388,2026-03-26
1280,250001105,가정3리,Gajeong 3(sam)-ri,127.57496,37.7612,2026-03-26
1281,250001106,가정3리,Gajeong 3(sam)-ri,127.57505,37.7611,2026-03-26
1282,250001107,강원학생교육원,Gangwon Students Educational Institute,127.57584,37.7347,2026-03-26
1283,250001108,우러니입구,Ureoni Entrance,127.6914,37.73596,2026-03-26
1284,250001109,광판1리,Gwangpan 1(il)-ri,127.70472,37.73178,2026-03-26
1285,250001110,광판1리,Gwangpan 1(il)-ri,127.70461,37.73189,2026-03-26
1286,250001117,정보화마을,Information Network Village,127.69663,37.73107,2026-03-26
1287,250001118,정보화마을,Information Network Village,127.69684,37.73104,2026-03-26
1288,250001119,양지마을,Yangji Village,127.69328,37.73427,2026-03-26
1289,250001120,수동1리,Sudong 1(il)-ri,127.67654,37.7737,2026-03-26
1290,250001121,수동1리,Sudong 1(il)-ri,127.67298,37.77387,2026-03-26
1291,250001122,혈동2리,Hyeoldong 2(i)-ri,127.69122,37.79899,2026-03-26
1292,250001123,팔미3리,Palmi 3(sam)-ri,127.7001,37.81723,2026-03-26
1293,250001124,팔미3리,Palmi 3(sam)-ri,127.69994,37.81734,2026-03-26
1294,250001125,오항리,Ohang-ri,127.90091,37.9796,2026-03-26
1295,250001126,천리터,Cheonriteo,127.8966,37.98381,2026-03-26
1296,250001127,추곡터널,Chugok Tunnel,127.86787,38.03521,2026-03-26
1297,250001129,백양2리,Baegyang 2(i)-ri,127.57308,37.81409,2026-03-26
1298,250001130,백양2리,Baegyang 2(i)-ri,127.57298,37.81399,2026-03-26
1299,250001131,백양2리,Baegyang 2(i)-ri,127.56966,37.81617,2026-03-26
1300,250001132,백양2리,Baegyang 2(i)-ri,127.56954,37.81652,2026-03-26
1301,250026612,백양1리,Baegyang 1(il)-ri,127.56498,37.81896,2026-03-26
1302,250001134,당림리,Dangnim-ri,127.59918,37.83399,2026-03-26
1303,250001135,당림1리,Dangnim 1(il)-ri,127.61677,37.85339,2026-03-26
1304,250001136,당림1리,Dangnim 1(il)-ri,127.616,37.85099,2026-03-26
1305,250001137,당림1리,Dangnim 1(il)-ri,127.61611,37.85093,2026-03-26
1306,265000690,지내2리마을회관,Jinae 2(i)-ri Village Hall,127.78838,37.9174,2026-03-26
1307,250001139,방동1리,Bangdong 1(il)-ri,127.68049,37.89588,2026-03-26
1308,250001140,인형극장,Puppet Theater,127.72194,37.92203,2026-03-26
1309,250001141,송암리,Songam-ri,127.68991,38.00104,2026-03-26
1310,250001142,고성2리1반,Goseong 2(i)-ri 1(il)-ban,127.73042,37.9925,2026-03-26
1311,250001143,해피초원목장,Happy Meadow Ranch,127.69174,37.98009,2026-03-26
1312,250001144,눈썰매장입구,Sledding Slope Entrance,127.5983,37.97472,2026-03-26
1313,250001145,지암리,Jiam-ri,127.60217,37.97758,2026-03-26
